provname,lat,long
Banteay Meanchey,13.58375612,102.9833158
Battambang,13.10001304,103.2000468
Kampong Cham,12.00044191,105.4500386
Kampong Chhnang,12.25047833,104.6666239
Kampong Speu,11.4519961,104.5189986
Kampong Thum,12.71199613,104.8889977
Kampot,10.61708966,104.1833459
Koh Kong,11.61753897,102.9849329
Kratie,12.46899612,106.0239967
Mondol Kiri,12.44999711,107.1999997
Phnom Penh,11.55003013,104.9166345
Pursat,12.53369102,103.9166955
Preah Vihear,13.816701,104.9667037
Prey Veng,11.48399998,105.3240036
Ratanak Kiri,13.50700214,106.9810026
Siem Reap,13.36663759,103.8500329
Stung Treng,13.52300408,105.9740016
Svay Rieng,11.0799991,105.8010036
Takeo,10.98375978,104.7833093
