"adm1_name","mean_temp_C","median_temp_C","quarter_quant_temp_C","threequarter_quant_temp","mean_precip_mm","median_precip_mm","quarter_quant_precip_mm","threequarter_quant_precip_mm"
"Banteay Meanchey",28.1948344319077,28.0965561785714,27.3953436357143,29.2393259464286,3.52455454515314,2.83612142857143,0.64009545625387,5.34702857142857
"Battambang",27.8880365705302,27.9380979214286,27.1278468428572,28.8501143303572,3.82147728213606,3.52341785714286,1.02294009313962,5.67075357142857
"Kampong Cham",28.6726348397224,28.4818194821429,27.6528996232143,29.6081274142858,4.22180555821357,3.86485766476785,0.67094383187971,6.83686071428571
"Kampong Chhnang",28.2109620080394,28.1346942178571,27.3191998303572,29.1144930125,4.32898678127642,3.99892043026279,0.956483852053023,6.78046428571429
"Kampong Speu",26.682853182379,26.6002767928572,25.84887036,27.4698915910715,4.61509807516662,4.12719642857143,1.26404835166785,7.04843571428571
"Kampong Thom",28.3086237485049,28.1903933571429,27.4462118642857,29.2656281178571,4.43196359099521,3.90740714285714,0.831075444280357,7.08012678571428
"Kampot",26.6103936214353,26.5351927035714,26.0025937232143,27.2173947839285,5.59772375299456,5.38590357142857,1.82837206497128,8.31000357142857
"Kandal",28.6131455095759,28.4520618142857,27.7273626178571,29.4467167357143,3.88708051068545,3.48812136864696,0.840375,5.89388214285715
"Kep",26.9047852621226,26.8512941285714,26.3216012735715,27.5011607232143,5.06064207235737,4.60323101791428,1.66194438901071,7.61165
"Koh Kong",25.4375896529969,25.4184483928572,25.0520387857143,25.9108741625,8.1603257390342,7.55160357142857,2.58119892857143,12.0728607142857
"Kratie",28.1519904550791,27.8717929321429,27.1788385017857,28.9701530446429,4.99650341399639,4.49603214285714,0.590283383183571,8.26281964285714
"Mondul Kiri",27.4908109906362,27.1841310571429,26.4242394285715,28.4159577839286,5.09226304716979,4.37177857142857,0.465773883493723,8.4446625
"Oddar Meanchey",27.5693241702468,27.5694852428572,26.6783473892858,28.6604022946429,3.72449482707044,2.77486428571429,0.584483267384584,5.72032142857143
"Pailin",26.4840803639349,26.5551251321429,25.9706024928571,27.2329576232143,4.5388215097658,4.34048928571429,1.14670720181934,7.03752678571429
"Phnom Penh",28.6660431806131,28.5213666714286,27.7057663303572,29.5514140946429,3.74365745526896,3.24890985633929,0.752095039685755,5.63745357142857
"Preah Sihanouk",26.7951160881579,26.7494076857143,26.3091823585714,27.2212079267858,8.14212815173205,6.56932857142857,2.20405535714286,12.6482964285714
"Preah Vihear",27.3813805449412,27.3147461607143,26.5062915839286,28.4256075625,4.56432746773761,3.66745357142857,0.500269642857143,7.6334625
"Prey Veng",28.6317995417428,28.4805382785715,27.7716110821428,29.3453954089286,4.17320161242496,3.91755059481785,0.789015708840285,6.56379821428572
"Pursat",26.8562228378417,26.9706100607143,26.0883149125,27.8449891607143,4.7141385381489,4.45219410506322,1.56658920031996,7.03551607142857
"Ratanak Kiri",26.8482697923395,26.5571512285714,25.8073780946428,27.8142957928572,6.28385224698057,4.48864642857143,0.481977260416656,10.8437714285714
"Siemreap",28.1802408912801,28.1532623821428,27.2960731932143,29.1932690696429,3.95322162309158,3.28560123559072,0.760988919061929,6.18452678571429
"Stung Treng",27.5752807057673,27.3256497214285,26.5898011107143,28.5343590428572,5.8110974757891,4.52885,0.452627614744052,10.1438839285714
"Svay Rieng",28.4378642123212,28.267960582143,27.6383707285714,29.0684409392857,4.72405716464501,4.48817142857142,0.886366308572142,7.69155892857143
"Takeo",28.0799784317496,27.9114848107143,27.2656368142857,28.8692157428572,4.01912285874888,3.70970964284886,1.04318397116786,6.02688392857142
"Tboung Khmum",28.3780035707529,28.1765783285715,27.4238978017858,29.1926493732143,4.58122168566977,4.12448571428571,0.671271194606342,7.64321785714286
