"year","lambda","N_sero","llik","convergence","lambda_min","lambda_max","lci","uci"
1983,1393679956657.33,2,190.058291997508,0,1e-06,13936799566573.3,1e-06,13936799566573.3
1984,1.10648154830194e-06,2,190.058291997508,0,1e-06,1,1e-06,1
1985,6.04583204042311e-07,2,190.058291997508,0,6.04583204042311e-08,1,6.04583204042311e-08,1
1986,0.000406280825647148,2,190.058291997508,0,1e-06,1,1e-06,1
1987,0.344948735365935,2,190.058291997508,0,1e-06,1,1e-06,1
1988,0.00114080690612649,2,190.058291997508,0,1e-06,1,1e-06,0.691692
1989,0.201220777128135,2,190.058291997508,0,1e-06,1,1e-06,0.780781
1990,1.82578273494083e-05,2,190.058291997508,0,1e-06,1,1e-06,0.478479
1991,2.84709465938956e-06,2,190.058291997508,0,1e-06,1,1e-06,0.415416
1992,2.0149907148355e-06,2,190.058291997508,0,1e-06,1,1e-06,0.371372
1993,3.60899003682906e-06,2,190.058291997508,0,1e-06,1,1e-06,0.33934
1994,1.3540163625637e-05,2,190.058291997508,0,1e-06,1,1e-06,0.313314
1995,9.21086302649106e-05,2,190.058291997508,0,1e-06,1,1e-06,0.292293
1996,0.00122518601843113,2,190.058291997508,0,1e-06,1,1e-06,0.276277
1997,0.143374179243295,2,190.058291997508,0,1e-06,1,1e-06,0.404405
1998,0.000224818033726377,2,190.058291997508,0,1e-06,1,1e-06,0.244245
1999,7.19508060064922e-05,2,190.058291997508,0,1e-06,1,1e-06,0.230231
2000,6.11445459332385e-05,2,190.058291997508,0,1e-06,1,1e-06,0.21922
2001,0.00037333357741708,2,190.058291997508,0,1e-06,1,1e-06,0.20921
2002,0.111953622261856,2,190.058291997508,0,1e-06,1,1e-06,0.311312
2003,0.000497113171870829,2,190.058291997508,0,1e-06,1,1e-06,0.190191
2004,0.0900862572331786,2,190.058291997508,0,1e-06,1,1e-06,0.271272
2005,0.195509634205617,2,190.058291997508,0,1e-06,1,0.044045,0.367368
2006,0.113616832875207,2,190.058291997508,0,1e-06,1,1e-06,0.273274
2007,0.122291978673323,2,190.058291997508,0,1e-06,1,1e-06,0.270271
2008,0.227199993725499,2,190.058291997508,0,1e-06,1,0.107108,0.362363
2009,0.0195414185231248,2,190.058291997508,0,1e-06,1,1e-06,0.135136
2010,0.110294728689417,2,190.058291997508,0,1e-06,1,0.020021,0.213214
2011,0.0916301607040999,2,190.058291997508,0,1e-06,1,0.017018,0.178179
2012,0.0132006592457247,2,190.058291997508,0,1e-06,1,1e-06,0.084085
2013,0.0598539631657156,2,190.058291997508,0,1e-06,1,0.010011,0.120121
2014,0.0217425492320217,2,190.058291997508,0,1e-06,1,1e-06,0.072073
2015,0.00650265999196057,2,190.058291997508,0,1e-06,1,1e-06,0.047048
2016,3.14027394848181e-07,2,190.058291997508,0,3.14027394848181e-08,1,3.14027394848181e-08,0.0340340643680116
2017,7.57731609262585e-10,2,190.058291997508,0,7.57731609262585e-11,1,7.57731609262585e-11,0.0270270271007523
2018,6.11488223070343e-12,2,190.058291997508,0,6.11488223070343e-13,1,6.11488223070343e-13,0.0200200200206193
2019,0.0993949568260647,2,190.058291997508,0,1e-06,1,0.06907,0.137138
2020,0.0603070108828832,2,190.058291997508,0,1e-06,1,0.021022,0.135136
