"year_range","mid_year","corr","provname","comp_prov","full_ts_corr","dist_m","dist_km","dist_from_PP_m","dist_from_PP_km"
"2002-2006",2004,0.803571557672659,"Banteay Meanchey","Battambang",0.804022314570421,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
"2003-2007",2005,0.851965744089632,"Banteay Meanchey","Battambang",0.804022314570421,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
"2004-2008",2006,0.857012827865821,"Banteay Meanchey","Battambang",0.804022314570421,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
"2005-2009",2007,0.842939549807834,"Banteay Meanchey","Battambang",0.804022314570421,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
"2006-2010",2008,0.849048702611563,"Banteay Meanchey","Battambang",0.804022314570421,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
"2007-2011",2009,0.84397127929232,"Banteay Meanchey","Battambang",0.804022314570421,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
"2008-2012",2010,0.897622171603984,"Banteay Meanchey","Battambang",0.804022314570421,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
"2009-2013",2011,0.898005340373064,"Banteay Meanchey","Battambang",0.804022314570421,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
"2010-2014",2012,0.902937614763,"Banteay Meanchey","Battambang",0.804022314570421,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
"2011-2015",2013,0.883817250991506,"Banteay Meanchey","Battambang",0.804022314570421,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
"2012-2016",2014,0.886658050977499,"Banteay Meanchey","Battambang",0.804022314570421,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
"2013-2017",2015,0.911873570502396,"Banteay Meanchey","Battambang",0.804022314570421,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
"2014-2018",2016,0.92260811353437,"Banteay Meanchey","Battambang",0.804022314570421,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
"2015-2019",2017,0.963586236214479,"Banteay Meanchey","Battambang",0.804022314570421,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
"2016-2020",2018,0.964771497064696,"Banteay Meanchey","Battambang",0.804022314570421,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
"2002-2006",2004,0.654052293509958,"Banteay Meanchey","Kampong Cham",0.756847313803379,296753.118377888,296.753118377888,312253.511127179,312.253511127179
"2003-2007",2005,0.88770047391915,"Banteay Meanchey","Kampong Cham",0.756847313803379,296753.118377888,296.753118377888,312253.511127179,312.253511127179
"2004-2008",2006,0.885620379125421,"Banteay Meanchey","Kampong Cham",0.756847313803379,296753.118377888,296.753118377888,312253.511127179,312.253511127179
"2005-2009",2007,0.918249331614587,"Banteay Meanchey","Kampong Cham",0.756847313803379,296753.118377888,296.753118377888,312253.511127179,312.253511127179
"2006-2010",2008,0.914913141603848,"Banteay Meanchey","Kampong Cham",0.756847313803379,296753.118377888,296.753118377888,312253.511127179,312.253511127179
"2007-2011",2009,0.918109440141129,"Banteay Meanchey","Kampong Cham",0.756847313803379,296753.118377888,296.753118377888,312253.511127179,312.253511127179
"2008-2012",2010,0.823093976689006,"Banteay Meanchey","Kampong Cham",0.756847313803379,296753.118377888,296.753118377888,312253.511127179,312.253511127179
"2009-2013",2011,0.770429978397674,"Banteay Meanchey","Kampong Cham",0.756847313803379,296753.118377888,296.753118377888,312253.511127179,312.253511127179
"2010-2014",2012,0.797860815463612,"Banteay Meanchey","Kampong Cham",0.756847313803379,296753.118377888,296.753118377888,312253.511127179,312.253511127179
"2011-2015",2013,0.798711970633712,"Banteay Meanchey","Kampong Cham",0.756847313803379,296753.118377888,296.753118377888,312253.511127179,312.253511127179
"2012-2016",2014,0.802418651952142,"Banteay Meanchey","Kampong Cham",0.756847313803379,296753.118377888,296.753118377888,312253.511127179,312.253511127179
"2013-2017",2015,0.694752023768142,"Banteay Meanchey","Kampong Cham",0.756847313803379,296753.118377888,296.753118377888,312253.511127179,312.253511127179
"2014-2018",2016,0.806258594030875,"Banteay Meanchey","Kampong Cham",0.756847313803379,296753.118377888,296.753118377888,312253.511127179,312.253511127179
