"year","sigma","neg_llik","convergence","lci","uci"
2002,1e-07,123251.698772552,0,0,0
2003,1e-07,123251.698772552,0,0,0
2004,1e-07,123251.698772552,0,0,0
2005,1e-07,123251.698772552,0,0,0
2006,1e-07,123251.698772552,0,0,0
2007,1e-07,123251.698772552,0,0,0
2008,1e-07,123251.698772552,0,0,0
2009,1e-07,123251.698772552,0,0,0
2010,1e-07,123251.698772552,0,0,0
2011,1e-07,123251.698772552,0,0,0
2012,1e-07,123251.698772552,0,0,0
2013,1e-07,123251.698772552,0,0,0
2014,1e-07,123251.698772552,0,0,0
2015,1e-07,123251.698772552,0,0,0
2016,1e-07,123251.698772552,0,0,0
2017,1e-07,123251.698772552,0,0,0.0005005005005005
2018,1e-07,123251.698772552,0,0,0.0005005005005005
2019,0.0215995804901181,123251.698772552,0,0.016016016016016,0.0275275275275275
2020,0.260167328659833,123251.698772552,0,0.233233233233233,0.289289289289289
