"year","lambda","N_sero","llik","convergence","provname"
1985,4.77548748790224e-07,2,11688.867849759,1,"Banteay Meanchey"
1986,0.0510077913395769,2,11688.867849759,1,"Banteay Meanchey"
1987,8.79133688890314e-07,2,11688.867849759,1,"Banteay Meanchey"
1988,0.0644541913088735,2,11688.867849759,1,"Banteay Meanchey"
1989,0.0332798953009087,2,11688.867849759,1,"Banteay Meanchey"
1990,0.157191021626891,2,11688.867849759,1,"Banteay Meanchey"
1991,0.0198476944231582,2,11688.867849759,1,"Banteay Meanchey"
1992,0.16258821480753,2,11688.867849759,1,"Banteay Meanchey"
1993,0.147054104757583,2,11688.867849759,1,"Banteay Meanchey"
1994,0.160059338689431,2,11688.867849759,1,"Banteay Meanchey"
1995,0.132051567062925,2,11688.867849759,1,"Banteay Meanchey"
1996,0.149467874318293,2,11688.867849759,1,"Banteay Meanchey"
1997,0.127883858008816,2,11688.867849759,1,"Banteay Meanchey"
1998,0.126580687793217,2,11688.867849759,1,"Banteay Meanchey"
1999,0.121941608270325,2,11688.867849759,1,"Banteay Meanchey"
2000,0.0988111712097915,2,11688.867849759,1,"Banteay Meanchey"
2001,0.0677043821354671,2,11688.867849759,1,"Banteay Meanchey"
2002,0.0927460913151705,2,11688.867849759,1,"Banteay Meanchey"
2003,0.144374392957507,2,11688.867849759,1,"Banteay Meanchey"
2004,0.0822495087376278,2,11688.867849759,1,"Banteay Meanchey"
2005,0.0871619496248931,2,11688.867849759,1,"Banteay Meanchey"
2006,0.0605405402393562,2,11688.867849759,1,"Banteay Meanchey"
2007,0.11465449060355,2,11688.867849759,1,"Banteay Meanchey"
2008,0.124332710605225,2,11688.867849759,1,"Banteay Meanchey"
2009,0.0781679133127283,2,11688.867849759,1,"Banteay Meanchey"
2010,0.0745473808783941,2,11688.867849759,1,"Banteay Meanchey"
2011,0.0371790793731199,2,11688.867849759,1,"Banteay Meanchey"
2012,0.0941229365282413,2,11688.867849759,1,"Banteay Meanchey"
2013,0.092688619161785,2,11688.867849759,1,"Banteay Meanchey"
2014,0.0365776971839434,2,11688.867849759,1,"Banteay Meanchey"
2015,0.0529286373227541,2,11688.867849759,1,"Banteay Meanchey"
2016,0.0382272277194676,2,11688.867849759,1,"Banteay Meanchey"
2017,0.026963089412815,2,11688.867849759,1,"Banteay Meanchey"
2018,0.0367460577391495,2,11688.867849759,1,"Banteay Meanchey"
2019,0.0412001372920048,2,11688.867849759,1,"Banteay Meanchey"
2020,0.0181186755651332,2,11688.867849759,1,"Banteay Meanchey"
1987,0.0221282234055664,2,4850.00985531843,1,"Battambang"
1988,2.28736993818249e-05,2,4850.00985531843,1,"Battambang"
1989,1.1528008958156e-06,2,4850.00985531843,1,"Battambang"
1990,9.32712132929188e-08,2,4850.00985531843,1,"Battambang"
1991,1.24814513578559e-08,2,4850.00985531843,1,"Battambang"
