"year","lambda","N_sero","llik","convergence","lci","uci","provname"
1985,0.0584466955148904,2,11856.5504159386,0,0,0.250812141413372,"Banteay Meanchey"
1986,0.0428548569115786,2,11856.5504159386,0,0,0.230275879109035,"Banteay Meanchey"
1987,0.0463113420427788,2,11856.5504159386,0,0,0.228503092993669,"Banteay Meanchey"
1988,0.12113938072437,2,11856.5504159386,0,0,0.294855945093727,"Banteay Meanchey"
1989,0.0932595274539887,2,11856.5504159386,0,0,0.256392964575096,"Banteay Meanchey"
1990,0.218815104870846,2,11856.5504159386,0,0.0692621155331677,0.368368094208525,"Banteay Meanchey"
1991,0.172536449126741,2,11856.5504159386,0,0.0397887068135798,0.305284191439902,"Banteay Meanchey"
1992,0.258439566840209,2,11856.5504159386,0,0.141588586822646,0.375290546857773,"Banteay Meanchey"
1993,0.30705657649723,2,11856.5504159386,0,0.205775435043977,0.408337717950482,"Banteay Meanchey"
1994,0.313587397193299,2,11856.5504159386,0,0.227291341055405,0.399883453331192,"Banteay Meanchey"
1995,0.277901935851631,2,11856.5504159386,0,0.20407716301141,0.351726708691853,"Banteay Meanchey"
1996,0.30631176727888,2,11856.5504159386,0,0.243015870356024,0.369607664201735,"Banteay Meanchey"
1997,0.265137046643465,2,11856.5504159386,0,0.210527646663993,0.319746446622936,"Banteay Meanchey"
1998,0.266600354280928,2,11856.5504159386,0,0.21902578058908,0.314174927972776,"Banteay Meanchey"
1999,0.265521262630225,2,11856.5504159386,0,0.224364806797797,0.306677718462652,"Banteay Meanchey"
2000,0.235458564541915,2,11856.5504159386,0,0.200019672774176,0.270897456309654,"Banteay Meanchey"
2001,0.270009006406937,2,11856.5504159386,0,0.240231202344354,0.29978681046952,"Banteay Meanchey"
2002,0.24897463205237,2,11856.5504159386,0,0.227951311704649,0.269997952400091,"Banteay Meanchey"
2003,0.286158571241983,2,11856.5504159386,0,0.268319287431918,0.303997855052049,"Banteay Meanchey"
2004,0.213953517452393,2,11856.5504159386,0,0.193412643254921,0.234494391649865,"Banteay Meanchey"
2005,0.263871781994471,2,11856.5504159386,0,0.246115504549841,0.2816280594391,"Banteay Meanchey"
2006,0.196646246507412,2,11856.5504159386,0,0.180685258801919,0.212607234212906,"Banteay Meanchey"
2007,0.262729111981252,2,11856.5504159386,0,0.248955092280903,0.276503131681601,"Banteay Meanchey"
2008,0.236586923035532,2,11856.5504159386,0,0.221276386584517,0.251897459486547,"Banteay Meanchey"
2009,0.224828524615784,2,11856.5504159386,0,0.2084463050155,0.241210744216069,"Banteay Meanchey"
2010,0.254178724669443,2,11856.5504159386,0,0.240454595364291,0.267902853974594,"Banteay Meanchey"
2011,0.167516367646042,2,11856.5504159386,0,0.155647153108487,0.179385582183598,"Banteay Meanchey"
2012,0.226097424292456,2,11856.5504159386,0,0.216333959708111,0.235860888876801,"Banteay Meanchey"
2013,0.211476147954255,2,11856.5504159386,0,0.198293417830157,0.224658878078353,"Banteay Meanchey"
2014,0.106909121442543,2,11856.5504159386,0,0.0909096293418463,0.12290861354324,"Banteay Meanchey"
2015,0.20245516203705,2,11856.5504159386,0,0.188137468779635,0.216772855294465,"Banteay Meanchey"
2016,0.122870126457064,2,11856.5504159386,0,0.110366174850189,0.13537407806394,"Banteay Meanchey"
2017,0.113976702271759,2,11856.5504159386,0,0.101291304290212,0.126662100253306,"Banteay Meanchey"
2018,0.111255591764099,2,11856.5504159386,0,0.0993619673615761,0.123149216166623,"Banteay Meanchey"
2019,0.219557322245397,2,11856.5504159386,0,0.209773224199248,0.229341420291547,"Banteay Meanchey"
2020,0.0413018158490452,2,11856.5504159386,0,0.0346767172834976,0.0479269144145927,"Banteay Meanchey"
1987,0.0544617037238729,2,4371.02775418427,0,0,0.343456307546791,"Battambang"
1988,1e-07,2,4371.02775418427,0,0,0.281654144088913,"Battambang"
1989,0.042669397847917,2,4371.02775418427,0,0,0.318153506819458,"Battambang"
1990,1e-07,2,4371.02775418427,0,0,0.262493505134475,"Battambang"
1991,0.174747659529148,2,4371.02775418427,0,0,0.412558417355457,"Battambang"
1992,0.210219284721637,2,4371.02775418427,0,0.000336271584406495,0.420102297858868,"Battambang"
1993,0.259172659737943,2,4371.02775418427,0,0.0747693363927139,0.443575983083172,"Battambang"
1994,0.160402569110958,2,4371.02775418427,0,0,0.32326519877276,"Battambang"
1995,0.324444598386008,2,4371.02775418427,0,0.182602540315077,0.466286656456939,"Battambang"
1996,0.237399177608074,2,4371.02775418427,0,0.115054697827456,0.359743657388691,"Battambang"
1997,0.270364734828368,2,4371.02775418427,0,0.162655686365619,0.378073783291117,"Battambang"
1998,0.289244897184957,2,4371.02775418427,0,0.195722289897465,0.38276750447245,"Battambang"
1999,0.291667181523055,2,4371.02775418427,0,0.211093556793978,0.372240806252132,"Battambang"
2000,0.265646430278641,2,4371.02775418427,0,0.196121571210712,0.33517128934657,"Battambang"
2001,0.267892461644593,2,4371.02775418427,0,0.208366573469611,0.327418349819575,"Battambang"
2002,0.239895934897258,2,4371.02775418427,0,0.193117369778798,0.286674500015718,"Battambang"
2003,0.23380980585562,2,4371.02775418427,0,0.197169346472,0.27045026523924,"Battambang"
2004,0.232664802372656,2,4371.02775418427,0,0.195423611454951,0.269905993290361,"Battambang"
2005,0.26845669042629,2,4371.02775418427,0,0.236616656019439,0.300296724833141,"Battambang"
2006,0.274425921010972,2,4371.02775418427,0,0.245389255386176,0.303462586635768,"Battambang"
2007,0.279486737955352,2,4371.02775418427,0,0.256069656670213,0.30290381924049,"Battambang"
2008,0.233466332526267,2,4371.02775418427,0,0.207618939709649,0.259313725342884,"Battambang"
2009,0.21217124464732,2,4371.02775418427,0,0.187081081510349,0.237261407784291,"Battambang"
2010,0.188431078171596,2,4371.02775418427,0,0.166484459028332,0.210377697314861,"Battambang"
2011,0.20740198793418,2,4371.02775418427,0,0.187612631404408,0.227191344463951,"Battambang"
2012,0.215254019426397,2,4371.02775418427,0,0.199756239005803,0.230751799846992,"Battambang"
2013,0.180103655095406,2,4371.02775418427,0,0.162061338243318,0.198145971947495,"Battambang"
2014,0.0926166663234182,2,4371.02775418427,0,0.0714838835463028,0.113749449100534,"Battambang"
2015,0.156605481144598,2,4371.02775418427,0,0.138154959985982,0.175056002303213,"Battambang"
2016,0.135382100879119,2,4371.02775418427,0,0.118250699468425,0.152513502289813,"Battambang"
2017,0.104194640458414,2,4371.02775418427,0,0.0874579358250053,0.120931345091823,"Battambang"
2018,0.116799399580756,2,4371.02775418427,0,0.101296955069599,0.132301844091913,"Battambang"
2019,0.226564495530963,2,4371.02775418427,0,0.214631492098005,0.238497498963921,"Battambang"
2020,0.0748268431522672,2,4371.02775418427,0,0.0624381881502481,0.0872154981542864,"Battambang"
1988,0.0322812406898543,2,6869.9867066532,0,0,0.236448631775486,"Kampong Cham"
1989,0.222731508664108,2,6869.9867066532,0,0.0349698021926364,0.41049321513558,"Kampong Cham"
1990,0.392701595603351,2,6869.9867066532,0,0.230689384835665,0.554713806371038,"Kampong Cham"
1991,0.422267724176099,2,6869.9867066532,0,0.289912871920247,0.554622576431951,"Kampong Cham"
1992,0.386723849475451,2,6869.9867066532,0,0.278802993659212,0.49464470529169,"Kampong Cham"
1993,0.405038513164762,2,6869.9867066532,0,0.316496539781316,0.493580486548209,"Kampong Cham"
1994,0.455339565774061,2,6869.9867066532,0,0.383902043850926,0.526777087697195,"Kampong Cham"
1995,0.389142003654051,2,6869.9867066532,0,0.331744689945372,0.446539317362731,"Kampong Cham"
1996,0.339361798363577,2,6869.9867066532,0,0.291909332465248,0.386814264261907,"Kampong Cham"
1997,0.301049640089777,2,6869.9867066532,0,0.260930396536194,0.34116888364336,"Kampong Cham"
1998,0.269766965938283,2,6869.9867066532,0,0.235324239848952,0.304209692027614,"Kampong Cham"
1999,0.277335812432654,2,6869.9867066532,0,0.247741743398792,0.306929881466517,"Kampong Cham"
2000,0.236600998590524,2,6869.9867066532,0,0.211266865377693,0.261935131803355,"Kampong Cham"
2001,0.2350403330551,2,6869.9867066532,0,0.213667295510451,0.256413370599749,"Kampong Cham"
2002,0.253407583086446,2,6869.9867066532,0,0.237968024516562,0.268847141656331,"Kampong Cham"
2003,0.25053656103925,2,6869.9867066532,0,0.238298673582046,0.262774448496454,"Kampong Cham"
2004,0.245983350803502,2,6869.9867066532,0,0.233886984054345,0.258079717552659,"Kampong Cham"
2005,0.265020062171328,2,6869.9867066532,0,0.252597660224049,0.277442464118606,"Kampong Cham"
2006,0.241000401029106,2,6869.9867066532,0,0.229636319560351,0.252364482497862,"Kampong Cham"
2007,0.249918407023513,2,6869.9867066532,0,0.240524870467901,0.259311943579125,"Kampong Cham"
2008,0.20922319135225,2,6869.9867066532,0,0.196991637094194,0.221454745610306,"Kampong Cham"
2009,0.226031775047374,2,6869.9867066532,0,0.213535175221643,0.238528374873106,"Kampong Cham"
2010,0.224716275291276,2,6869.9867066532,0,0.213555082360053,0.235877468222498,"Kampong Cham"
2011,0.160014484693686,2,6869.9867066532,0,0.148891175044207,0.171137794343164,"Kampong Cham"
2012,0.203672077595414,2,6869.9867066532,0,0.19368635114102,0.213657804049808,"Kampong Cham"
2013,0.197645234621425,2,6869.9867066532,0,0.187090525515272,0.208199943727577,"Kampong Cham"
2014,0.126628336106548,2,6869.9867066532,0,0.112919919440362,0.140336752772735,"Kampong Cham"
2015,0.149753599582233,2,6869.9867066532,0,0.137064375444688,0.162442823719777,"Kampong Cham"
2016,0.134954637728874,2,6869.9867066532,0,0.122024533550486,0.147884741907262,"Kampong Cham"
2017,0.0781497620720674,2,6869.9867066532,0,0.0626830595910722,0.0936164645530626,"Kampong Cham"
2018,0.176539088159303,2,6869.9867066532,0,0.161068728162426,0.19200944815618,"Kampong Cham"
2019,0.250595338423606,2,6869.9867066532,0,0.238727990686155,0.262462686161057,"Kampong Cham"
2020,0.118401202069752,2,6869.9867066532,0,0.101940897803124,0.13486150633638,"Kampong Cham"
1988,1e-07,2,3537.93944003033,0,0,0.373858435820881,"Kampong Chhnang"
1989,1e-07,2,3537.93944003033,0,0,0.347860062668268,"Kampong Chhnang"
1990,1e-07,2,3537.93944003033,0,0,0.311877085033173,"Kampong Chhnang"
1991,1e-07,2,3537.93944003033,0,0,0.260492748323833,"Kampong Chhnang"
1992,0.195400315232834,2,3537.93944003033,0,0,0.42608815587975,"Kampong Chhnang"
1993,0.456906792301382,2,3537.93944003033,0,0.261673777456961,0.652139807145803,"Kampong Chhnang"
1994,0.373884974487075,2,3537.93944003033,0,0.215959753669077,0.531810195305073,"Kampong Chhnang"
1995,0.342359264224686,2,3537.93944003033,0,0.210953379142767,0.473765149306605,"Kampong Chhnang"
1996,0.257050403063679,2,3537.93944003033,0,0.14576223513281,0.368338570994549,"Kampong Chhnang"
1997,0.297287147819933,2,3537.93944003033,0,0.201640509702982,0.392933785936884,"Kampong Chhnang"
1998,0.263280154175166,2,3537.93944003033,0,0.180696137502822,0.34586417084751,"Kampong Chhnang"
1999,0.297889102958368,2,3537.93944003033,0,0.226759426850279,0.369018779066456,"Kampong Chhnang"
2000,0.25234236355557,2,3537.93944003033,0,0.191818506452861,0.31286622065828,"Kampong Chhnang"
2001,0.266258446501935,2,3537.93944003033,0,0.215344520904069,0.3171723720998,"Kampong Chhnang"
2002,0.207360119833734,2,3537.93944003033,0,0.169751991535791,0.244968248131678,"Kampong Chhnang"
2003,0.211349711323094,2,3537.93944003033,0,0.176631753912351,0.246067668733838,"Kampong Chhnang"
2004,0.2580222642674,2,3537.93944003033,0,0.226327156349918,0.289717372184882,"Kampong Chhnang"
2005,0.289149981934427,2,3537.93944003033,0,0.25737615866297,0.320923805205883,"Kampong Chhnang"
2006,0.28824829891779,2,3537.93944003033,0,0.263308904103852,0.313187693731729,"Kampong Chhnang"
2007,0.26168913393232,2,3537.93944003033,0,0.238286216153297,0.285092051711343,"Kampong Chhnang"
2008,0.217020447425493,2,3537.93944003033,0,0.189746409330957,0.24429448552003,"Kampong Chhnang"
2009,0.142542987823703,2,3537.93944003033,0,0.118402031572055,0.16668394407535,"Kampong Chhnang"
2010,0.285019709679991,2,3537.93944003033,0,0.261725036621279,0.308314382738703,"Kampong Chhnang"
2011,0.265171840829854,2,3537.93944003033,0,0.240529516246367,0.289814165413342,"Kampong Chhnang"
2012,0.221854189973999,2,3537.93944003033,0,0.202090543201625,0.241617836746373,"Kampong Chhnang"
2013,0.169857295254676,2,3537.93944003033,0,0.151317032299065,0.188397558210287,"Kampong Chhnang"
2014,0.109869694937765,2,3537.93944003033,0,0.0873774044425767,0.132361985432954,"Kampong Chhnang"
2015,0.149906918009407,2,3537.93944003033,0,0.129780641315302,0.170033194703513,"Kampong Chhnang"
2016,0.136476310110811,2,3537.93944003033,0,0.117924833319364,0.155027786902258,"Kampong Chhnang"
2017,0.0573922742551563,2,3537.93944003033,0,0.0381717296749903,0.0766128188353222,"Kampong Chhnang"
2018,0.16208722522339,2,3537.93944003033,0,0.1444848150113,0.17968963543548,"Kampong Chhnang"
2019,0.238555021227904,2,3537.93944003033,0,0.224553914192093,0.252556128263715,"Kampong Chhnang"
2020,0.113936745851678,2,3537.93944003033,0,0.0962767264613166,0.131596765242039,"Kampong Chhnang"
1988,0.00148567930986564,2,4819.9690745594,0,0,0.409647113823826,"Kampong Speu"
1989,0.148960333389027,2,4819.9690745594,0,0,0.518216078243107,"Kampong Speu"
1990,0.375742461596287,2,4819.9690745594,0,0.0605260626523937,0.69095886054018,"Kampong Speu"
1991,0.439077397455167,2,4819.9690745594,0,0.181118921594063,0.697035873316271,"Kampong Speu"
1992,0.436099549409057,2,4819.9690745594,0,0.228914822675435,0.64328427614268,"Kampong Speu"
1993,0.408334474929695,2,4819.9690745594,0,0.241703300849148,0.574965649010243,"Kampong Speu"
1994,0.445098116495937,2,4819.9690745594,0,0.311326399399876,0.578869833591997,"Kampong Speu"
1995,0.278239640465324,2,4819.9690745594,0,0.169564979837848,0.3869143010928,"Kampong Speu"
1996,0.360965809072083,2,4819.9690745594,0,0.270752367388172,0.451179250755995,"Kampong Speu"
1997,0.32831014378807,2,4819.9690745594,0,0.253177190023812,0.403443097552328,"Kampong Speu"
1998,0.319936349372539,2,4819.9690745594,0,0.256462368234349,0.383410330510729,"Kampong Speu"
1999,0.290377147827008,2,4819.9690745594,0,0.236602478053534,0.344151817600481,"Kampong Speu"
2000,0.239086612063612,2,4819.9690745594,0,0.193223582286865,0.284949641840359,"Kampong Speu"
2001,0.263196597472916,2,4819.9690745594,0,0.225274073163288,0.301119121782544,"Kampong Speu"
2002,0.231799276130429,2,4819.9690745594,0,0.20620178548797,0.257396766772887,"Kampong Speu"
