accession_num,tip_name,DENV.serotype,date,country,NIH.ID,lat,long,DENV.subtype,notes
FJ639669,FJ639669_2000-07-31,DENV-1,7/31/00,Cambodia,NA,13.0957,103.2022,DENV-1,BTB = Battambang
FJ639670,FJ639670_2001-07-31,DENV-1,7/31/01,Cambodia,NA,11.5564,104.9282,DENV-1,PHP: Phom Penh
FJ639671,FJ639671_2001-07-31,DENV-1,7/31/01,Cambodia,NA,11.99328713,105.4609662,DENV-1,KCH
FJ639672,FJ639672_2001-07-31,DENV-1,7/31/01,Cambodia,NA,13.0957,103.2022,DENV-1,BTB
FJ639673,FJ639673_2001-07-31,DENV-1,7/31/01,Cambodia,NA,11.99328713,105.4609662,DENV-1,KCH
FJ639697,FJ639697_2001-07-31,DENV-2,7/31/01,Cambodia,NA,11.99328713,105.4609662,Asian-1,KCH
GQ868637,GQ868637_2000-07-31,DENV-1,7/31/00,Cambodia,NA,10.9877,104.7871,DENV-1,TAK = Takeo
GU131887,GU131887_2006-07-31,DENV-1,7/31/06,Cambodia,NA,11.99328713,105.4609662,DENV-1,KCH
GU131889,GU131889_2006-07-31,DENV-1,7/31/06,Cambodia,NA,11.99328713,105.4609662,DENV-1,KCH
GU131890,GU131890_2006-07-31,DENV-1,7/31/06,Cambodia,NA,11.99328713,105.4609662,DENV-1,KCH
GU131891,GU131891_2006-07-31,DENV-1,7/31/06,Cambodia,NA,11.99328713,105.4609662,DENV-1,KCH
GU131893,GU131893_2007-07-31,DENV-1,7/31/07,Cambodia,NA,11.99328713,105.4609662,DENV-1,KCH
GU131895,GU131895_2009-07-31,DENV-1,7/31/09,Cambodia,NA,10.9877,104.7871,DENV-1,TAK
GU131896,GU131896_2007-07-31,DENV-2,7/31/07,Cambodia,NA,11.99328713,105.4609662,Asian-1,KCH
GU131897,GU131897_2007-07-31,DENV-2,7/31/07,Cambodia,NA,11.99328713,105.4609662,Asian-1,KCH
GU131919,GU131919_2008-07-31,DENV-1,7/31/08,Cambodia,NA,11.99328713,105.4609662,DENV-1,KCH
GU131920,GU131920_2008-07-31,DENV-1,7/31/08,Cambodia,NA,13.0957,103.2022,DENV-1,BTB
GU131922,GU131922_2008-07-31,DENV-1,7/31/08,Cambodia,NA,11.5564,104.9282,DENV-1,PHP
GU131925,GU131925_2006-07-31,DENV-1,7/31/06,Cambodia,NA,11.99328713,105.4609662,DENV-1,KCH
