"Accession","Serotype","Collection_Date","Year","Country"
"EU179860",1,2005-07-31,2005,"Brunei"
"EU179861",1,2006-07-31,2006,"Brunei"
"GQ868637",1,2000-07-31,2000,"Cambodia"
"FJ639669",1,2000-07-31,2000,"Cambodia"
"KF955406",1,2001-07-31,2001,"Cambodia"
"JN819423",1,2001-07-31,2001,"Cambodia"
"FJ639670",1,2001-07-31,2001,"Cambodia"
"FJ639671",1,2001-07-31,2001,"Cambodia"
"FJ639672",1,2001-07-31,2001,"Cambodia"
"FJ639673",1,2001-07-31,2001,"Cambodia"
"FJ639674",1,2002-07-31,2002,"Cambodia"
"GQ868618",1,2003-07-31,2003,"Cambodia"
"GQ868619",1,2003-07-31,2003,"Cambodia"
"FJ850069",1,2003-07-31,2003,"Cambodia"
"FJ639675",1,2003-07-31,2003,"Cambodia"
"FJ639676",1,2003-07-31,2003,"Cambodia"
"FJ639677",1,2003-07-31,2003,"Cambodia"
"FJ639678",1,2003-07-31,2003,"Cambodia"
"FJ639679",1,2003-07-31,2003,"Cambodia"
"FJ639680",1,2003-07-31,2003,"Cambodia"
"FJ639681",1,2003-07-31,2003,"Cambodia"
"JQ287664",1,2004-07-31,2004,"Cambodia"
"FJ639682",1,2004-07-31,2004,"Cambodia"
"GU131923",1,2005-07-31,2005,"Cambodia"
"FJ639683",1,2005-07-31,2005,"Cambodia"
"FJ639684",1,2005-07-31,2005,"Cambodia"
"FJ639685",1,2005-07-31,2005,"Cambodia"
"HM631852",1,2006-07-31,2006,"Cambodia"
"HM181936",1,2006-07-31,2006,"Cambodia"
"HM181937",1,2006-07-31,2006,"Cambodia"
"HM181938",1,2006-07-31,2006,"Cambodia"
"HM181939",1,2006-07-31,2006,"Cambodia"
"HM181940",1,2006-07-31,2006,"Cambodia"
"HM181941",1,2006-07-31,2006,"Cambodia"
"HM181942",1,2006-07-31,2006,"Cambodia"
"GU131887",1,2006-07-31,2006,"Cambodia"
"GU131888",1,2006-07-31,2006,"Cambodia"
"GU131889",1,2006-07-31,2006,"Cambodia"
"GU131890",1,2006-07-31,2006,"Cambodia"
"GU131891",1,2006-07-31,2006,"Cambodia"
"GU131892",1,2006-07-31,2006,"Cambodia"
"GU131925",1,2006-07-31,2006,"Cambodia"
"GU131926",1,2006-07-31,2006,"Cambodia"
"GQ868630",1,2006-07-31,2006,"Cambodia"
"GQ868639",1,2006-07-31,2006,"Cambodia"
"FJ744702",1,2006-07-31,2006,"Cambodia"
"FJ639686",1,2006-07-31,2006,"Cambodia"
"FJ639687",1,2006-07-31,2006,"Cambodia"
"KF955444",1,2007-07-31,2007,"Cambodia"
"KF921932",1,2007-07-31,2007,"Cambodia"
"KF921933",1,2007-07-31,2007,"Cambodia"
"JQ287665",1,2007-07-31,2007,"Cambodia"
"HQ624983",1,2007-07-31,2007,"Cambodia"
"HQ624984",1,2007-07-31,2007,"Cambodia"
"HM488255",1,2007-07-31,2007,"Cambodia"
"HM631853",1,2007-07-31,2007,"Cambodia"
"HM181943",1,2007-07-31,2007,"Cambodia"
"HM181944",1,2007-07-31,2007,"Cambodia"
"HM181945",1,2007-07-31,2007,"Cambodia"
"HM181946",1,2007-07-31,2007,"Cambodia"
"HM181947",1,2007-07-31,2007,"Cambodia"
"HM181948",1,2007-07-31,2007,"Cambodia"
"HM181949",1,2007-07-31,2007,"Cambodia"
"HM181950",1,2007-07-31,2007,"Cambodia"
"HM181951",1,2007-07-31,2007,"Cambodia"
"HM181952",1,2007-07-31,2007,"Cambodia"
"HM181953",1,2007-07-31,2007,"Cambodia"
"HM181954",1,2007-07-31,2007,"Cambodia"
"HM181955",1,2007-07-31,2007,"Cambodia"
"HM181956",1,2007-07-31,2007,"Cambodia"
"HM181957",1,2007-07-31,2007,"Cambodia"
"HM181958",1,2007-07-31,2007,"Cambodia"
"HM181959",1,2007-07-31,2007,"Cambodia"
"GU131893",1,2007-07-31,2007,"Cambodia"
"FJ639688",1,2007-07-31,2007,"Cambodia"
"FJ639689",1,2007-07-31,2007,"Cambodia"
"FJ639690",1,2007-07-31,2007,"Cambodia"
"FJ639691",1,2007-07-31,2007,"Cambodia"
"FJ639692",1,2007-07-31,2007,"Cambodia"
"FJ639693",1,2007-07-31,2007,"Cambodia"
"FJ639694",1,2007-07-31,2007,"Cambodia"
"FJ639695",1,2007-07-31,2007,"Cambodia"
"FJ639696",1,2007-07-31,2007,"Cambodia"
"KU509260",1,2008-07-31,2008,"Cambodia"
"JF937651",1,2008-07-31,2008,"Cambodia"
"GU131894",1,2008-07-31,2008,"Cambodia"
"GU131919",1,2008-07-31,2008,"Cambodia"
"GU131920",1,2008-07-31,2008,"Cambodia"
"GU131921",1,2008-07-31,2008,"Cambodia"
"GU131922",1,2008-07-31,2008,"Cambodia"
"GQ868632",1,2008-07-31,2008,"Cambodia"
"GQ868633",1,2008-07-31,2008,"Cambodia"
"GQ868635",1,2008-07-31,2008,"Cambodia"
"GQ868636",1,2008-07-31,2008,"Cambodia"
"GU131895",1,2009-07-31,2009,"Cambodia"
"MW265668",1,2011-05-23,2011,"Cambodia"
"MW265669",1,2011-02-06,2011,"Cambodia"
"MW265670",1,2012-01-19,2012,"Cambodia"
"MW265671",1,2012-04-29,2012,"Cambodia"
"MW265672",1,2013-01-28,2013,"Cambodia"
"MW265673",1,2014-05-22,2014,"Cambodia"
"MW265674",1,2014-06-25,2014,"Cambodia"
"MW265675",1,2014-08-07,2014,"Cambodia"
"MW265676",1,2014-11-25,2014,"Cambodia"
"MW265677",1,2015-06-19,2015,"Cambodia"
