year,month,sumppt,meanppt
2001,1,0.03167483,0.001021769
2001,2,0.014602777,0.000521528
2001,3,0.165006434,0.005322788
2001,4,0.085141365,0.002838046
2001,5,0.208129518,0.006713855
2001,6,0.218669631,0.007288988
2001,7,0.188242573,0.006072341
2001,8,0.336426596,0.010852471
2001,9,0.211606277,0.007053543
2001,10,0.243124488,0.007842725
2001,11,0.035425435,0.001180848
2001,12,0.008538335,0.00027543
2002,1,0.002224142,7.17E-05
2002,2,0.006372935,0.000227605
2002,3,0.05416827,0.001747364
2002,4,0.1008081,0.00336027
2002,5,0.160656285,0.005182461
2002,6,0.219012477,0.007300416
2002,7,0.145877795,0.004705735
2002,8,0.308267885,0.009944125
2002,9,0.339050165,0.011301672
2002,10,0.177065214,0.005711781
2002,11,0.085466982,0.002848899
2002,12,0.029848171,0.000962844
2003,1,0.001541002,4.97E-05
2003,2,0.019926033,0.000711644
2003,3,0.087949813,0.002837091
2003,4,0.089799427,0.002993314
2003,5,0.254134819,0.008197897
2003,6,0.177328108,0.005910937
2003,7,0.261646892,0.008440222
2003,8,0.270534619,0.008726923
2003,9,0.302361481,0.010078716
2003,10,0.258775525,0.008347598
2003,11,0.030897556,0.001029919
2003,12,0.003341451,0.000107789
2004,1,0.015849212,0.000511265
2004,2,0.010955044,0.000391252
2004,3,0.045760682,0.001476151
2004,4,0.093177668,0.003105922
2004,5,0.194184458,0.006264015
2004,6,0.274290185,0.009143006
2004,7,0.219420804,0.00707809
2004,8,0.260492308,0.008402978
2004,9,0.222295,0.007409833
2004,10,0.115938096,0.003739939
2004,11,0.027270036,0.000909001
2004,12,0.000527748,1.70E-05
2005,1,0.004999308,0.000161268
2005,2,0.003595155,0.000128398
2005,3,0.038652359,0.00124685
2005,4,0.077617952,0.002587265
2005,5,0.15997798,0.00516058
2005,6,0.190065558,0.006335519
2005,7,0.286934881,0.009255964
2005,8,0.207478662,0.00669286
2005,9,0.299411269,0.009980376
2005,10,0.208713418,0.006732691
2005,11,0.093764224,0.003125474
2005,12,0.047705097,0.001538874
2006,1,0.007733822,0.000249478
2006,2,0.028992206,0.001035436
2006,3,0.092669286,0.002989332
2006,4,0.134007047,0.004466902
2006,5,0.204982708,0.006612345
