Accession,Locality,Year,Serotype,Subclade
AY037116,Austalia,1993,DENV-2,Cosmopolitan-III
AF226687,Brazil,1989,DENV-1,Genotype-III
AF226685,Brazil,1990,DENV-1,Genotype-III
FJ850090,Brazil,2007,DENV-1,Genotype-III
FJ850084,Brazil,2005,DENV-1,Genotype-III
FJ850071,Brazil,2000,DENV-1,Genotype-III
FJ850081,Brazil,2004,DENV-1,Genotype-III
FJ850075,Brazil,2002,DENV-1,Genotype-III
FJ850070,Brazil,2000,DENV-1,Genotype-III
GU131863,Brazil,2008,DENV-1,Genotype-III
FJ850087,Brazil,2006,DENV-1,Genotype-III
GQ868601,British_Virgin_Islands,1985,DENV-1,Genotype-III
EU179860,Brunei,2005,DENV-1,Genotype-III
EU179857,Brunei,2005,DENV-2,Cosmopolitan-III
EU179859,Brunei,2006,DENV-2,Cosmopolitan-III
EU056810,Burkina_Faso,1983,DENV-2,Cosmopolitan-II
DQ193572,China,2004,DENV-1,Genotype-I
KF479233,China,2013,DENV-2,Cosmopolitan-I-C-1B
AF276619,China,2000,DENV-2,Cosmopolitan-I-C-1B
AF359579,China,1999,DENV-2,Cosmopolitan-I-C-1B
FJ196853,China,2003,DENV-2,Cosmopolitan-III
AF119661,China,1985,DENV-2,Asian-American
AF204178,China,1987,DENV-2,Asian-II
AF204177,China,1989,DENV-2,Asian-II
GQ868592,Columbia,1986,DENV-2,American
DQ285562,Comoros,1993,DENV-1,Genotype-III
HM582099,Fiji,1971,DENV-2,American
EF122232,French_Guiana,2006,DENV-1,Genotype-III
EF122231,French_Guiana,2006,DENV-1,Genotype-III
HM488257,Guam,2001,DENV-2,Cosmopolitan-III
HQ999999,Guatemala,2009,DENV-2,Asian-American
JN903579,India,2008,DENV-1,Genotype-III
JN903580,India,2009,DENV-1,Genotype-III
JN903581,India,2009,DENV-1,Genotype-III
DQ448231,India,2001,DENV-2,Cosmopolitan-I-C-1B
FJ898454,India,2006,DENV-2,Cosmopolitan-I-C-1B
JQ955624,India,2011,DENV-2,Cosmopolitan-I-C-1B
JQ955623,India,2009,DENV-2,Cosmopolitan-I-C-1B
JX475906,India,2009,DENV-2,Cosmopolitan-I-C-1B
GQ398258,Indonesia,1975,DENV-2,Cosmopolitan-II
GQ398259,Indonesia,1976,DENV-2,Cosmopolitan-II
GQ398260,Indonesia,1976,DENV-2,Cosmopolitan-II
AB189122,Indonesia,1998,DENV-2,Cosmopolitan-III
AY858035,Indonesia,2004,DENV-2,Cosmopolitan-III
GQ398268,Indonesia,1975,DENV-2,Asian-II
AB178040,Japan,2004,DENV-1,Genotype-I
AB204803,Micronesia,2004,DENV-1,Genotype-II
AY722801,Myanmar,1976,DENV-1,Genotype-III
AY713473,Myanmar,1971,DENV-1,Genotype-III
AY726552,Myanmar,2002,DENV-1,Genotype-I
AY713474,Myanmar,2001,DENV-1,Genotype-I
AY713475,Myanmar,2001,DENV-1,Genotype-I
AY726550,Myanmar,2001,DENV-1,Genotype-I
AY726553,Myanmar,2002,DENV-1,Genotype-I
AY726551,Myanmar,2001,DENV-1,Genotype-I
AY708047,Myanmar,2001,DENV-1,Genotype-I
AY713476,Myanmar,2001,DENV-1,Genotype-I
KF041232,Pakistan,2011,DENV-2,Cosmopolitan-I-C-1A
KF041234,Pakistan,2011,DENV-2,Cosmopolitan-I-C-1A
KJ010186,Pakistan,2013,DENV-2,Cosmopolitan-I-C-1A
KJ010185,Pakistan,2011,DENV-2,Cosmopolitan-I-C-1A
KF041235,Pakistan,2009,DENV-2,Cosmopolitan-I-C-1A
KF041237,Pakistan,2009,DENV-2,Cosmopolitan-I-C-1A
KF041233,Pakistan,2011,DENV-2,Cosmopolitan-I-C-1A
KF360005,Pakistan,2010,DENV-2,Cosmopolitan-I-C-1A
